Prediction_Date,Actual_Price,Predicted_LSTM_Price,Predicted_ARIMA_Price
2008-06-01 00:00:00,1425.288117,1476.100708,N/A
2008-07-01 00:00:00,1413.162696,1394.097778,N/A
2008-08-01 00:00:00,1416.469629,1360.058472,N/A
2008-09-01 00:00:00,1361.354079,1351.735352,N/A
2008-10-01 00:00:00,1245.611424,1254.061279,N/A
2008-11-01 00:00:00,986.5683405,1121.521606,N/A
2008-12-01 00:00:00,826.7332463,823.3984985,N/A
2009-01-01 00:00:00,810.1985813,746.0787354,N/A
2009-02-01 00:00:00,782.6408065,774.6609497,N/A
2009-03-01 00:00:00,730.8321897,758.5137329,N/A
2009-04-01 00:00:00,680.1258839,720.5719604,N/A
2009-05-01 00:00:00,628.3172672,681.9040527,N/A
2009-06-01 00:00:00,608.3985075,635.7566528,N/A
2009-07-01 00:00:00,722.0137017,619.8053589,N/A
2009-08-01 00:00:00,807.9939593,739.8591919,N/A
2009-09-01 00:00:00,857.5979541,837.4764404,N/A
2009-10-01 00:00:00,881.848796,887.3232422,N/A
2009-11-01 00:00:00,811.3008923,901.9185791,N/A
2009-12-01 00:00:00,816.8124473,807.1525269,N/A
2010-01-01 00:00:00,887.360351,815.1347656,N/A
2010-02-01 00:00:00,928.1458578,896.7717896,N/A
2010-03-01 00:00:00,961.2151876,936.817688,N/A
2010-04-01 00:00:00,1008.61456,967.8046875,N/A
2010-05-01 00:00:00,1022.944603,1018.460266,N/A
2010-06-01 00:00:00,971.1359866,1023.095276,N/A
2010-07-01 00:00:00,921.5319918,949.4147339,N/A
2010-08-01 00:00:00,875.23493,899.1468506,N/A
2010-09-01 00:00:00,901.6903939,853.6234741,N/A
2010-10-01 00:00:00,870.8256861,898.4909668,N/A
2010-11-01 00:00:00,814.6078253,858.6398315,N/A
2010-12-01 00:00:00,887.360351,801.1254883,N/A
2011-01-01 00:00:00,1038.376957,902.2023926,N/A
2011-02-01 00:00:00,1135.380325,1080.27002,N/A
2011-03-01 00:00:00,1187.188942,1174.067993,N/A
2011-04-01 00:00:00,1197.109741,1206.889282,N/A
2011-05-01 00:00:00,1145.301124,1190.861084,N/A
2011-06-01 00:00:00,1096.79944,1103.417114,N/A
2011-07-01 00:00:00,1048.297756,1051.482056,N/A
2011-08-01 00:00:00,988.7729625,1000.446655,N/A
2011-09-01 00:00:00,1028.456158,941.8527222,N/A
2011-10-01 00:00:00,1006.409938,1020.228577,N/A
